Cents,TOTAL (T),TOTAL Most Frequent,Western (W),Non-Western (NW),Instrumental (In),Vocal (Vo),T 95% CI,TMF 95% CI,W 95% CI,NW 95% CI,IN 95% CI,Vo 95% CI,T SE high,TMF SE high,W SE high,NW SE high,In SE high,Vo SE high,T SE low,TMF SE low,W SE low,NW SE low,In SE low,Vo SE low
357,0.273,0.2268,0.151807692,0.238581633,0.28465,0.169333333,0.07332369,0.067260955,0.063220329,0.090908424,0.203955195,0.049162959,0.34632369,0.29406095,0.21502802,0.32949006,0.48860519,0.21849629,0.199676,0.15953905,0.08858736,0.14767321,0.08069481,0.12017037
360,0.268,0.20908,0.123769231,0.240326531,0.28095,0.137047619,0.068391512,0.052431699,0.045884443,0.085021507,0.174978444,0.042818489,0.33639151,0.2615117,0.16965367,0.32534804,0.45592844,0.17986611,0.199608,0.1566483,0.07788479,0.15530502,0.10597156,0.09422913
363,0.254,0.21694,0.176807692,0.212734694,0.258025,0.164952381,0.065603256,0.051096984,0.065899351,0.081080698,0.156687221,0.054547363,0.31960326,0.26803698,0.24270704,0.29381539,0.41471222,0.21949974,0.188397,0.16584302,0.11090834,0.131654,0.10133778,0.11040502
366,0.245,0.21489,0.164,0.206214286,0.23075,0.163928571,0.057544035,0.04411495,0.068168787,0.070424991,0.134581937,0.061501617,0.30254403,0.25900495,0.23216879,0.27663928,0.36533194,0.22543019,0.187456,0.17077505,0.09583121,0.13578929,0.09616806,0.10242695
369,0.238,0.20809,0.178307692,0.195234694,0.218,0.164595238,0.05364823,0.041962564,0.055610426,0.066240923,0.1295923,0.048025014,0.29164823,0.25005256,0.23391812,0.26147562,0.3475923,0.21262025,0.184352,0.16612744,0.12269727,0.12899377,0.0884077,0.11657022
372,0.247,0.22089,0.205923077,0.197367347,0.215625,0.179071429,0.055304425,0.046963072,0.084479414,0.066286079,0.130263248,0.052578089,0.30230442,0.26785307,0.29040249,0.26365343,0.34588825,0.23164952,0.191696,0.17392693,0.12144366,0.13108127,0.08536175,0.12649334
375,0.257,0.21136,0.205769231,0.207806122,0.22135,0.178119048,0.061482751,0.047465979,0.083872037,0.074544009,0.150391091,0.059264947,0.31848275,0.25882598,0.28964127,0.28235013,0.37174109,0.237384,0.195517,0.16389402,0.12189719,0.13326211,0.07095891,0.1188541
378,0.264,0.23469,0.272115385,0.197091837,0.248,0.166166667,0.057708729,0.051644857,0.102673255,0.067405733,0.136040168,0.05113985,0.32170873,0.28633486,0.37478864,0.26449757,0.38404017,0.21730652,0.206291,0.18304514,0.16944213,0.1296861,0.11195983,0.11502682
381,0.27,0.22548,0.320461539,0.190918367,0.24255,0.183309524,0.059740164,0.051744996,0.124775418,0.066932806,0.135494542,0.062589569,0.32974016,0.277225,0.44523696,0.25785117,0.37804454,0.24589909,0.21026,0.173735,0.19568612,0.12398556,0.10705546,0.12071996
384,0.264,0.23419,0.377923077,0.168693878,0.25355,0.150452381,0.065033425,0.061081619,0.205533218,0.05863385,0.153652436,0.056744103,0.32903343,0.29527162,0.58345629,0.22732773,0.40720244,0.20719648,0.198967,0.17310838,0.17238986,0.11006003,0.09989756,0.09370828
387,0.269,0.2256,0.389653846,0.170816327,0.2456,0.183,0.066279771,0.061545739,0.220176768,0.056809826,0.16337264,0.065547781,0.33527977,0.28714574,0.60983061,0.22762615,0.40897264,0.24854778,0.20272,0.16405426,0.16947708,0.1140065,0.08222736,0.11745222
390,0.262,0.21728,0.385692308,0.165285714,0.205975,0.195476191,0.062632101,0.056931582,0.202010706,0.054851538,0.139516544,0.067884081,0.3246321,0.27421158,0.58770301,0.22013725,0.34549154,0.26336027,0.199368,0.16034842,0.1836816,0.11043418,0.06645846,0.12759211
393,0.261,0.24819,0.371076923,0.167408163,0.1836,0.212142857,0.06042543,0.077258646,0.177573544,0.057316628,0.089143991,0.090125684,0.32142543,0.32544865,0.54865047,0.22472479,0.27274399,0.30226854,0.200575,0.17093135,0.19350338,0.11009153,0.09445601,0.12201717
396,0.273,0.21162,0.407346154,0.170744898,0.190225,0.231309524,0.064923384,0.047964368,0.185106518,0.062260616,0.097351113,0.08684125,0.33792338,0.25958437,0.59245267,0.23300551,0.28757611,0.31815077,0.208077,0.16365563,0.22223964,0.10848428,0.09287389,0.14446827
399,0.231,0.15786,0.278038462,0.162306122,0.126625,0.21752381,0.054089748,0.035437249,0.132308762,0.057808155,0.067712316,0.087439891,0.28508975,0.19329725,0.41034722,0.22011428,0.19433732,0.3049637,0.17691,0.12242275,0.1457297,0.10449797,0.05891268,0.13008392
402,0.226,0.16115,0.248423077,0.164734694,0.122025,0.214833333,0.058950481,0.039327852,0.137778751,0.064575541,0.073837862,0.083697676,0.28495048,0.20047785,0.38620183,0.22931023,0.19586286,0.29853101,0.16705,0.12182215,0.11064433,0.10015915,0.04818714,0.13113566
405,0.221,0.14875,0.234384615,0.163346939,0.12405,0.215809524,0.059119985,0.03198295,0.121849295,0.067150828,0.078523504,0.095357786,0.28011998,0.18073295,0.35623391,0.23049777,0.2025735,0.31116731,0.16188,0.11676705,0.11253532,0.09619611,0.0455265,0.12045174
408,0.232,0.15237,0.221230769,0.178530612,0.152225,0.232809524,0.058296081,0.034945357,0.109169537,0.067727603,0.098417363,0.105245848,0.29029608,0.18731536,0.33040031,0.24625821,0.25064236,0.33805537,0.173704,0.11742464,0.11206123,0.11080301,0.05380764,0.12756368
411,0.211,0.14104,0.1815,0.167061225,0.174325,0.190952381,0.055241339,0.037137774,0.093646279,0.065319484,0.117112571,0.086305403,0.26624134,0.17817777,0.27514628,0.23238071,0.29143757,0.27725778,0.155759,0.10390223,0.08785372,0.10174174,0.05721243,0.10464698
414,0.201,0.14698,0.140192308,0.167428571,0.1705,0.166142857,0.048688764,0.037633721,0.066922097,0.058940573,0.10581459,0.072659433,0.24968876,0.18461372,0.2071144,0.22636914,0.27631459,0.23880229,0.152311,0.10934628,0.07327021,0.108488,0.06468541,0.09348342
417,0.207,0.15755,0.164769231,0.167989796,0.200125,0.194547619,0.054996796,0.047768393,0.078580303,0.066390828,0.139077231,0.072734104,0.2619968,0.20531839,0.24334953,0.23438062,0.33920223,0.26728172,0.152003,0.10978161,0.08618893,0.10159897,0.06104777,0.12181351
420,0.165,0.14153,0.109923077,0.138969388,0.135475,0.154761905,0.039098456,0.039351574,0.052170394,0.047422775,0.090554094,0.057811122,0.20409846,0.18088157,0.16209347,0.18639216,0.22602909,0.21257303,0.125902,0.10217843,0.05775268,0.09154661,0.04492091,0.09695078
423,0.184,0.14142,0.133923077,0.151938776,0.14905,0.187285714,0.038255841,0.033704237,0.06327468,0.045371813,0.083577424,0.065627978,0.22225584,0.17512424,0.19719776,0.19731059,0.23262742,0.25291369,0.145744,0.10771576,0.0706484,0.10656696,0.06547258,0.12165774
426,0.17,0.13644,0.122192308,0.140918367,0.169475,0.159190476,0.039155446,0.032270949,0.054705345,0.047339647,0.096468394,0.059454441,0.20915545,0.16871095,0.17689765,0.18825801,0.26594339,0.21864492,0.130845,0.10416905,0.06748696,0.09357872,0.07300661,0.09973604
429,0.161,0.14455,0.146115385,0.125663265,0.125575,0.162785714,0.037344152,0.035222878,0.072943279,0.043067175,0.082579812,0.059992919,0.19834415,0.17977288,0.21905866,0.16873044,0.20815481,0.22277863,0.123656,0.10932712,0.07317211,0.08259609,0.04299519,0.10279279
432,0.153,0.12579,0.126846154,0.12294898,0.1095,0.158880952,0.036195795,0.031207535,0.06275548,0.042663787,0.06971338,0.07182369,0.18919579,0.15699753,0.18960163,0.16561277,0.17921338,0.23070464,0.116804,0.09458247,0.06409067,0.08028519,0.03978662,0.08705726
435,0.161,0.12387,0.122961539,0.131826531,0.0944,0.191095238,0.035665323,0.033764518,0.060925647,0.042125726,0.053578304,0.0792072,0.19666532,0.15763452,0.18388719,0.17395226,0.1479783,0.27030244,0.125335,0.09010548,0.06203589,0.0897008,0.0408217,0.11188804
438,0.172,0.12247,0.135038462,0.139295918,0.085075,0.192976191,0.039012058,0.030978374,0.080851431,0.044456255,0.057602762,0.086274197,0.21101206,0.15344837,0.21588989,0.18375217,0.14267776,0.27925039,0.132988,0.09149163,0.05418703,0.09483966,0.02747224,0.10670199
441,0.174,0.13781,0.146153846,0.1385,0.08535,0.197119048,0.038766287,0.042208301,0.103449157,0.040648181,0.052147261,0.087899369,0.21276629,0.1800183,0.249603,0.17914818,0.13749726,0.28501842,0.135234,0.0956017,0.04270469,0.09785182,0.03320274,0.10921968
444,0.193,0.16995,0.157615385,0.155163265,0.11165,0.212738095,0.041775716,0.045747397,0.077661967,0.048677499,0.083462882,0.077316205,0.23477572,0.2156974,0.23527735,0.20384076,0.19511288,0.2900543,0.151224,0.1242026,0.07995342,0.10648577,0.02818712,0.13542189
447,0.186,0.16309,0.163423077,0.146765306,0.09105,0.213880952,0.042844861,0.040211292,0.098365061,0.047493156,0.067775696,0.08728097,0.22884486,0.20330129,0.26178814,0.19425846,0.1588257,0.30116192,0.143155,0.12287871,0.06505802,0.09927215,0.0232743,0.12659998
450,0.19,0.17371,0.118038462,0.162785714,0.0939,0.2,0.044289897,0.049600403,0.068125714,0.052890258,0.0737342,0.077216625,0.2342899,0.2233104,0.18616418,0.21567597,0.1676342,0.27721662,0.14571,0.1241096,0.04991275,0.10989546,0.0201658,0.12278338
453,0.185,0.1566,0.135538462,0.152387755,0.108075,0.181404762,0.039054327,0.033663599,0.064648822,0.046318399,0.081259653,0.051579358,0.22405433,0.1902636,0.20018728,0.19870615,0.18933465,0.23298412,0.145946,0.1229364,0.07088964,0.10606936,0.02681535,0.1298254
456,0.215,0.18803,0.141461539,0.181826531,0.108,0.208833333,0.045528921,0.048482403,0.088407754,0.052489519,0.082034927,0.07654568,0.26052892,0.2365124,0.22986929,0.23431605,0.19003493,0.28537901,0.169471,0.1395476,0.05305378,0.12933701,0.02596507,0.13228765
459,0.234,0.18464,0.166,0.194938776,0.143325,0.216476191,0.05324542,0.040031744,0.096918702,0.062216601,0.105059917,0.075954419,0.28724542,0.22467174,0.2629187,0.25715538,0.24838492,0.29243061,0.180755,0.14460826,0.0690813,0.13272217,0.03826508,0.14052177
462,0.249,0.1944,0.148807692,0.214489796,0.17375,0.2095,0.052807841,0.038346644,0.075010459,0.063507148,0.119583649,0.070607523,0.30180784,0.23274664,0.22381815,0.27799694,0.29333365,0.28010752,0.196192,0.15605336,0.07379723,0.15098265,0.05416635,0.13889248
465,0.281,0.20807,0.146115385,0.248418367,0.218325,0.224,0.06497068,0.04205201,0.065915415,0.079788956,0.151691518,0.072225136,0.34597068,0.25012201,0.2120308,0.32820732,0.37001652,0.29622514,0.216029,0.16601799,0.08019997,0.16862941,0.06663348,0.15177486
468,0.318,0.26323,0.141384615,0.286989796,0.2628,0.214642857,0.073270668,0.060355262,0.053610078,0.090656263,0.183755504,0.057314754,0.39127067,0.32358526,0.19499469,0.37764606,0.4465555,0.27195761,0.244729,0.20287474,0.08777454,0.19633353,0.0790445,0.1573281
471,0.347,0.28177,0.133192308,0.318846939,0.296575,0.217047619,0.090398545,0.063517774,0.062647565,0.111909122,0.234423547,0.073695635,0.43739855,0.34528777,0.19583987,0.43075606,0.53099855,0.29074325,0.256601,0.21825223,0.07054474,0.20693782,0.06215145,0.14335198
474,0.376,0.31158,0.154192308,0.342704082,0.335225,0.226333333,0.090877835,0.069726624,0.076057662,0.111906397,0.240585873,0.069231055,0.46687784,0.38130662,0.23024997,0.45461048,0.57581087,0.29556439,0.285122,0.24185338,0.07813465,0.23079768,0.09463913,0.15710228
477,0.401,0.29321,0.168192308,0.364234694,0.3954,0.243833333,0.103468899,0.063541914,0.083225436,0.127814612,0.280138377,0.079874793,0.5044689,0.35675191,0.25141774,0.49204931,0.67553838,0.32370813,0.297531,0.22966809,0.08496687,0.23642008,0.11526162,0.16395854
480,0.432,0.32874,0.157769231,0.398867347,0.416175,0.251595238,0.099674109,0.070345099,0.069161949,0.122846853,0.259714717,0.089514405,0.53167411,0.3990851,0.22693118,0.5217142,0.67588972,0.34110964,0.332326,0.2583949,0.08860728,0.27602049,0.15646028,0.16208083
483,0.463,0.37964,0.172192308,0.426540816,0.48775,0.243904762,0.105984865,0.070539229,0.071140236,0.130750652,0.279975947,0.081911681,0.56898486,0.45017923,0.24333254,0.55729147,0.76772595,0.32581644,0.357015,0.30910077,0.10105207,0.29579016,0.20777405,0.16199308
486,0.473,0.39922,0.202,0.429244898,0.434525,0.286,0.092724261,0.075130617,0.078988617,0.113584531,0.220970312,0.087697159,0.56572426,0.47435062,0.28098862,0.54282943,0.65549531,0.37369716,0.380276,0.32408938,0.12301138,0.31566037,0.21355469,0.19830284
489,0.533,0.45726,0.210846154,0.488112245,0.5223,0.255928571,0.109541528,0.090042199,0.085204139,0.134417555,0.249453328,0.08137501,0.64254153,0.5473022,0.29605029,0.6225298,0.77175333,0.33730358,0.423458,0.3672178,0.12564201,0.35369469,0.27284667,0.17455356
492,0.556,0.49778,0.205192308,0.512979592,0.555175,0.248071429,0.116904596,0.10320047,0.098891975,0.142875297,0.266323731,0.088929438,0.6729046,0.60098047,0.30408428,0.65585489,0.82149873,0.33700087,0.439095,0.39457953,0.10630033,0.3701043,0.28885127,0.15914199
495,0.637,0.57511,0.196423077,0.597816327,0.633675,0.260952381,0.132145481,0.123956039,0.097898768,0.161116299,0.278755607,0.103033426,0.76914548,0.69906604,0.29432185,0.75893263,0.91243061,0.36398581,0.504855,0.45115396,0.09852431,0.43670003,0.35491939,0.15791896
498,0.734,0.67991,0.226269231,0.68905102,0.7874,0.283976191,0.155472046,0.151732102,0.101100497,0.190312605,0.331989026,0.106973203,0.88947205,0.8316421,0.32736973,0.87936362,1.11938903,0.39094939,0.578528,0.5281779,0.12516873,0.49873842,0.45541097,0.17700299
501,0.755,0.70294,0.189923077,0.720234694,0.8217,0.262666667,0.164195232,0.164359804,0.077852413,0.201059487,0.354305126,0.093174687,0.91919523,0.8672998,0.26777549,0.92129418,1.17600513,0.35584135,0.590805,0.5385802,0.11207066,0.51917521,0.46739487,0.16949198
504,0.714,0.617,0.216807692,0.671540816,0.7693,0.265476191,0.147590134,0.134181591,0.102722432,0.18008885,0.321549829,0.107713,0.86159013,0.75118159,0.31953012,0.85162967,1.09084983,0.37318919,0.56641,0.48281841,0.11408526,0.49145197,0.44775017,0.15776319
507,0.713,0.55121,0.216846154,0.669785714,0.764825,0.268952381,0.181374258,0.115514992,0.084253408,0.224681079,0.453001769,0.104606848,0.89437426,0.66672499,0.30109956,0.89446679,1.21782677,0.37355923,0.531626,0.43569501,0.13259275,0.44510463,0.31182323,0.16434553
510,0.661,0.49498,0.204692308,0.61994898,0.63305,0.257595238,0.152419695,0.098439013,0.094162281,0.187490325,0.342489299,0.107742228,0.8134197,0.59341901,0.29885459,0.8074393,0.9755393,0.36533747,0.50858,0.39654099,0.11053003,0.43245866,0.2905607,0.14985301
513,0.55,0.45034,0.191730769,0.51055102,0.433125,0.268690476,0.116742747,0.097070394,0.087241046,0.1429987,0.209881903,0.12531903,0.66674275,0.54741039,0.27897182,0.65354972,0.6430069,0.39400951,0.433257,0.35326961,0.10448972,0.36755232,0.2232431,0.14337145
516,0.437,0.36638,0.144615385,0.408020408,0.2553,0.239666667,0.095983556,0.08060028,0.069222543,0.117652886,0.118339498,0.122947488,0.53298356,0.44698028,0.21383793,0.52567329,0.3736395,0.36261415,0.341016,0.28577972,0.07539284,0.29036752,0.1369605,0.11671918
519,0.393,0.3137,0.168076923,0.356530612,0.231975,0.274666667,0.079472607,0.063840675,0.086437522,0.096405092,0.109208447,0.130769671,0.47247261,0.37754067,0.25451444,0.4529357,0.34118345,0.40543634,0.313527,0.24985933,0.0816394,0.26012552,0.12276655,0.143897
522,0.36,0.28195,0.194230769,0.315714286,0.16175,0.271547619,0.070424802,0.056466238,0.098691292,0.084460215,0.07047436,0.12384968,0.4304248,0.33841624,0.29292206,0.4001745,0.23222436,0.3953973,0.289575,0.22548376,0.09553948,0.23125407,0.09127564,0.14769794
525,0.332,0.25564,0.198423077,0.28572449,0.157575,0.261142857,0.063838856,0.051394462,0.080085159,0.077528254,0.06944553,0.108682941,0.39583886,0.30703446,0.27850824,0.36325274,0.22702053,0.3698258,0.268161,0.20424554,0.11833792,0.20819624,0.08812947,0.15245992
528,0.294,0.23679,0.152807692,0.260010204,0.1191,0.233809524,0.069458741,0.056157635,0.078386518,0.084835712,0.066815513,0.122778878,0.36345874,0.29294764,0.23119421,0.34484592,0.18591551,0.3565884,0.224541,0.18063236,0.07442117,0.17517449,0.05228449,0.11103065
531,0.292,0.23013,0.176884615,0.250826531,0.104875,0.25302381,0.064139264,0.051336285,0.082568169,0.077855379,0.065231615,0.114705841,0.35613926,0.28146629,0.25945278,0.32868191,0.17010661,0.36772965,0.227861,0.17879371,0.09431645,0.17297115,0.03964339,0.13831797
534,0.255,0.1894,0.121769231,0.227520408,0.100725,0.205404762,0.059795228,0.047762641,0.068719295,0.072801183,0.065911284,0.10397323,0.31479523,0.23716264,0.19048853,0.30032159,0.16663628,0.30937799,0.195205,0.14163736,0.05304994,0.15471923,0.03481372,0.10143153
537,0.227,0.18386,0.145346154,0.192734694,0.09345,0.196833333,0.052127827,0.047124815,0.075406545,0.062703445,0.080477542,0.080604936,0.27912783,0.23098481,0.2207527,0.25543814,0.17392754,0.27743827,0.174872,0.13673519,0.06993961,0.13003125,0.01297246,0.1162284
540,0.222,0.17762,0.134115385,0.19105102,0.08855,0.186976191,0.050941151,0.046221583,0.076363189,0.060971294,0.073896287,0.08358211,0.27294115,0.22384158,0.21047857,0.25202231,0.16244629,0.2705583,0.171059,0.13139842,0.0577522,0.13007973,0.01465371,0.10339408
543,0.188,0.15289,0.134692308,0.155989796,0.07975,0.154309524,0.039823648,0.037253438,0.096284409,0.043391183,0.054389592,0.068611126,0.22782365,0.19014344,0.23097672,0.19938098,0.13413959,0.22292065,0.148176,0.11563656,0.0384079,0.11259861,0.02536041,0.0856984
546,0.185,0.1449,0.135153846,0.15294898,0.071775,0.191166667,0.03708747,0.033042434,0.081367186,0.041635719,0.053383852,0.067787664,0.22208747,0.17794243,0.21652103,0.1945847,0.12515885,0.25895433,0.147913,0.11185757,0.05378666,0.11131326,0.01839115,0.123379
549,0.153,0.12028,0.114230769,0.125397959,0.072425,0.139761905,0.034791004,0.027644494,0.073063235,0.039510796,0.052100476,0.057854013,0.187791,0.14792449,0.187294,0.16490875,0.12452548,0.19761592,0.118209,0.09263551,0.04116753,0.08588716,0.02032452,0.08190789
552,0.148,0.12017,0.119192308,0.119346939,0.0654,0.15152381,0.032135798,0.027572186,0.073837145,0.03563174,0.049718163,0.060596204,0.1801358,0.14774219,0.19302945,0.15497868,0.11511816,0.21212001,0.115864,0.09259781,0.04535516,0.0837152,0.01568184,0.09092761
555,0.142,0.11411,0.125423077,0.111540816,0.06325,0.140261905,0.030382371,0.026669231,0.074896137,0.032885367,0.049696763,0.050819938,0.17238237,0.14077923,0.20031921,0.14442618,0.11294676,0.19108184,0.111618,0.08744077,0.05052694,0.07865545,0.01355324,0.08944197
558,0.13,0.11136,0.122384615,0.100163265,0.072575,0.112309524,0.031316495,0.027651646,0.079965638,0.033406379,0.058821551,0.052884164,0.16131649,0.13901165,0.20235025,0.13356964,0.13139655,0.16519369,0.098684,0.08370835,0.04241898,0.06675689,0.01375345,0.05942536
561,0.118,0.08585,0.134730769,0.084591837,0.0455,0.120333333,0.028820409,0.020072315,0.093753889,0.026276664,0.033236018,0.061218367,0.14682041,0.10592232,0.22848466,0.1108685,0.07873602,0.1815517,0.08918,0.06577768,0.04097688,0.05831517,0.01226398,0.05911497
564,0.112,0.08953,0.0905,0.09077551,0.0585,0.103285714,0.024897671,0.019776976,0.066981956,0.026012513,0.038560727,0.044116924,0.13689767,0.10930698,0.15748196,0.11678802,0.09706073,0.14740264,0.087102,0.06975302,0.02351804,0.064763,0.01993927,0.05916879
567,0.123,0.09474,0.132730769,0.090040816,0.051425,0.134166667,0.027868782,0.022168503,0.087018572,0.026371923,0.035691103,0.059687995,0.15086878,0.1169085,0.21974934,0.11641274,0.0871161,0.19385466,0.095131,0.0725715,0.0457122,0.06366889,0.0157339,0.07447867
570,0.113,0.09851,0.128653846,0.080683673,0.0709,0.100428571,0.028550993,0.027418844,0.071011503,0.030515866,0.056072822,0.047125947,0.14155099,0.12592884,0.19966535,0.11119954,0.12697282,0.14755452,0.084449,0.07109116,0.05764234,0.05016781,0.01482718,0.05330262
573,0.104,0.08781,0.104038462,0.078734694,0.06675,0.091738095,0.030064057,0.029322949,0.065787794,0.033721774,0.066764177,0.043881759,0.13406406,0.11713295,0.16982626,0.11245647,0.13351418,0.13561985,0.073936,0.05848705,0.03825067,0.04501292,-0.00001418,0.04785634
576,0.109,0.09489,0.113961539,0.08144898,0.062325,0.107214286,0.031009882,0.028734081,0.071654533,0.034197346,0.070887858,0.047768595,0.14000988,0.12362408,0.18561607,0.11564633,0.13321286,0.15498288,0.07799,0.06615592,0.04230701,0.04725163,-0.0085629,0.05944569
579,0.104,0.09852,0.111076923,0.077071429,0.082975,0.080666667,0.032261816,0.033138854,0.054084973,0.038091461,0.080670178,0.036468838,0.13626182,0.13165885,0.1651619,0.11516289,0.16364518,0.11713551,0.071738,0.06538115,0.05699195,0.03897997,0.00230482,0.04419783
582,0.094,0.08632,0.093846154,0.071173469,0.06555,0.082857143,0.027631668,0.026094867,0.070927885,0.029394735,0.060883282,0.046874411,0.12163167,0.11241487,0.16477404,0.1005682,0.12643328,0.12973155,0.066368,0.06022513,0.02291827,0.04177873,0.00466672,0.03598273
585,0.083,0.07956,0.099538462,0.057938776,0.054475,0.082761905,0.0203864,0.019761129,0.053470519,0.02121122,0.041621454,0.036518616,0.1033864,0.09932113,0.15300898,0.07915,0.09609645,0.11928052,0.062614,0.05979887,0.04606794,0.03672756,0.01285355,0.04624329
588,0.094,0.07089,0.085961538,0.073091837,0.05925,0.083952381,0.025062526,0.019425399,0.059020183,0.027551567,0.054152992,0.039305799,0.11906253,0.0903154,0.14498172,0.1006434,0.11340299,0.12325818,0.068937,0.0514646,0.02694136,0.04554027,0.00509701,0.04464658
591,0.077,0.06933,0.098769231,0.052520408,0.0415,0.076404762,0.015714563,0.014108673,0.044837221,0.015371304,0.026417954,0.030308702,0.09271456,0.08343867,0.14360645,0.06789171,0.06791795,0.10671346,0.061285,0.05522133,0.05393201,0.0371491,0.01508205,0.04609606
594,0.073,0.06502,0.082346154,0.052438776,0.04445,0.069238095,0.016775207,0.016756258,0.036873627,0.018640774,0.031664386,0.027453791,0.08977521,0.08177626,0.11921978,0.07107955,0.07611439,0.09669189,0.056225,0.04826374,0.04547253,0.033798,0.01278561,0.0417843
597,0.084,0.07296,0.112346154,0.056326531,0.046375,0.086642857,0.017127108,0.016173006,0.053040558,0.015678617,0.019717211,0.040367277,0.10112711,0.08913301,0.16538671,0.07200515,0.06609221,0.12701013,0.066873,0.05678699,0.0593056,0.04064791,0.02665779,0.04627558
600,0.076,0.06579,0.084384615,0.055142857,0.0382,0.083619048,0.015207981,0.014634838,0.035048103,0.016637115,0.025868585,0.029789271,0.09120798,0.08042484,0.11943272,0.07177997,0.06406858,0.11340832,0.060792,0.05115516,0.04933651,0.03850574,0.01233142,0.05382978
603,0.074,0.06086,0.082307692,0.053428571,0.041525,0.06852381,0.014855971,0.013457911,0.031093347,0.016686378,0.022730718,0.025167765,0.08885597,0.07431791,0.11340104,0.07011495,0.06425572,0.09369158,0.059144,0.04740209,0.05121434,0.03674219,0.01879428,0.04335604
606,0.075,0.0593,0.094230769,0.051612245,0.03925,0.080095238,0.014748433,0.012946794,0.031762305,0.016195818,0.022785553,0.027711735,0.08974843,0.07224679,0.12599307,0.06780806,0.06203555,0.10780697,0.060252,0.04635321,0.06246846,0.03541643,0.01646445,0.0523835
609,0.077,0.05861,0.099,0.052132653,0.042225,0.084738095,0.016602033,0.014924017,0.039829909,0.017651099,0.027922648,0.032343068,0.09360203,0.07353402,0.13882991,0.06978375,0.07014765,0.11708116,0.060398,0.04368598,0.05917009,0.03448155,0.01430235,0.05239503
612,0.07,0.05396,0.074846154,0.051846939,0.04235,0.068571429,0.014477445,0.013082118,0.029553402,0.016423747,0.028204815,0.023581599,0.08447745,0.06704212,0.10439956,0.06827069,0.07055481,0.09215303,0.055523,0.04087788,0.04529275,0.03542319,0.01414519,0.04498983
615,0.074,0.05935,0.071692308,0.056979592,0.052025,0.066214286,0.013756985,0.012748331,0.025695379,0.015960701,0.028714877,0.020547703,0.08775698,0.07209833,0.09738769,0.07294029,0.08073988,0.08676199,0.060243,0.04660167,0.04599693,0.04101889,0.02331012,0.04566658
618,0.087,0.06975,0.087230769,0.065755102,0.047825,0.090047619,0.020092342,0.017317858,0.036831894,0.023389093,0.039461942,0.037225023,0.10709234,0.08706786,0.12406266,0.08914419,0.08728694,0.12727264,0.066908,0.05243214,0.05039888,0.04236601,0.00836306,0.0528226
621,0.089,0.07983,0.102692308,0.063520408,0.04825,0.097071429,0.018533118,0.017487166,0.035908371,0.021131384,0.037914017,0.030093625,0.10753312,0.09731717,0.13860068,0.08465179,0.08616402,0.12716505,0.070467,0.06234283,0.06678394,0.04238902,0.01033598,0.0669778
624,0.098,0.08621,0.098692308,0.073479592,0.0611,0.111976191,0.023255971,0.02040008,0.04748151,0.026494758,0.044478334,0.044756544,0.12125597,0.10661008,0.14617382,0.09997435,0.10557833,0.15673274,0.074744,0.06580992,0.0512108,0.04698483,0.01662167,0.06721965
627,0.109,0.07846,0.087538462,0.08822449,0.06395,0.103857143,0.025495464,0.018930753,0.044129851,0.030059947,0.049262376,0.041973681,0.13449546,0.09739075,0.13166831,0.11828444,0.11321238,0.14583082,0.083505,0.05952925,0.04340861,0.05816454,0.01468762,0.06188346
630,0.107,0.08446,0.116,0.078408163,0.060875,0.111261905,0.022497904,0.018622869,0.039840181,0.026211033,0.039829869,0.033749265,0.1294979,0.10308287,0.15584018,0.1046192,0.10070487,0.14501117,0.084502,0.06583713,0.07615982,0.05219713,0.02104513,0.07751264
633,0.124,0.10305,0.105115385,0.098683673,0.066725,0.112333333,0.028041714,0.025113029,0.04150898,0.033724016,0.050478514,0.032730382,0.15204171,0.12816303,0.14662436,0.13240769,0.11720351,0.14506372,0.095958,0.07793697,0.06360641,0.06495966,0.01624649,0.07960295
636,0.122,0.09526,0.112923077,0.094265306,0.066875,0.120285714,0.030738498,0.025329233,0.061471698,0.035268599,0.050443932,0.052390033,0.1527385,0.12058923,0.17439477,0.1295339,0.11731893,0.17267575,0.091262,0.06993077,0.05145138,0.05899671,0.01643107,0.06789568
639,0.129,0.10865,0.118846154,0.099877551,0.069175,0.116142857,0.028509894,0.024345736,0.046034354,0.033899785,0.051261396,0.036690007,0.15750989,0.13299574,0.16488051,0.13377734,0.1204364,0.15283286,0.10049,0.08430426,0.0728118,0.06597777,0.0179136,0.07945285
642,0.13,0.09874,0.107461539,0.104346939,0.0815,0.106476191,0.028253253,0.020648563,0.041493493,0.03401067,0.044843541,0.031495557,0.15825325,0.11938856,0.14895503,0.13835761,0.12634354,0.13797175,0.101747,0.07809144,0.06596805,0.07033627,0.03665646,0.07498063
645,0.147,0.11999,0.121038462,0.117622449,0.076425,0.14602381,0.029148527,0.022500456,0.046190963,0.034784957,0.038434051,0.048027255,0.17614853,0.14249046,0.16722943,0.15240741,0.11485905,0.19405107,0.117851,0.09748954,0.0748475,0.08283749,0.03799095,0.09799655
648,0.162,0.12454,0.126192308,0.131836735,0.111825,0.150261905,0.033496448,0.028521806,0.05064141,0.040194116,0.062197539,0.055916601,0.19549645,0.15306181,0.17683372,0.17203085,0.17402254,0.20617851,0.128504,0.09601819,0.0755509,0.09164262,0.04962746,0.0943453
