Cents,TOTAL (T),TOTAL Most Frequent,Western (W),Non-Western (NW),Instrumental (In),Vocal (Vo),T 95% CI,TMF 95% CI,W 95% CI,NW 95% CI,IN 95% CI,Vo 95% CI,T SE high,TMF SE high,W SE high,NW SE high,In SE high,Vo SE high,T SE low,TMF SE low,W SE low,NW SE low,In SE low,Vo SE low
1119,0.162,0.1803,0.187846154,0.115744898,0.083875,0.207047619,0.027132531,0.029941967,0.068623166,0.028362332,0.043913251,0.053715987,0.18913253,0.21024197,0.25646932,0.14410723,0.12778825,0.26076361,0.134867,0.15035803,0.11922299,0.08738257,0.03996175,0.15333163
1122,0.189,0.21506,0.207346154,0.138040816,0.144975,0.211690476,0.041000011,0.041994517,0.079517295,0.046975985,0.101075052,0.061784322,0.23000001,0.25705452,0.28686345,0.1850168,0.24605005,0.2734748,0.148,0.17306548,0.12782886,0.09106483,0.04389995,0.14990615
1125,0.172,0.19654,0.245846154,0.110153061,0.092725,0.228714286,0.029356124,0.030490621,0.087091432,0.026353191,0.051131916,0.055628126,0.20135612,0.22703062,0.33293759,0.13650625,0.14385692,0.28434241,0.142644,0.16604938,0.15875472,0.08379987,0.04159308,0.17308616
1128,0.209,0.22456,0.265,0.142908163,0.149625,0.253666667,0.044413252,0.044417323,0.113026304,0.046220291,0.099515723,0.075567057,0.25341325,0.26897732,0.3780263,0.18912845,0.24914072,0.32923372,0.164587,0.18014268,0.1519737,0.09668787,0.05010928,0.17809961
1131,0.187,0.2082,0.265038462,0.12044898,0.06865,0.269071429,0.033662199,0.03449403,0.102685717,0.030002308,0.042260479,0.071673753,0.2206622,0.24269403,0.36772418,0.15045129,0.11091048,0.34074518,0.153338,0.17370597,0.16235275,0.09044667,0.02638952,0.19739768
1134,0.202,0.22317,0.276769231,0.132520408,0.085375,0.268928571,0.035306024,0.035471008,0.112876942,0.03046022,0.042814488,0.075370998,0.23730602,0.25864101,0.38964617,0.16298063,0.12818949,0.34429957,0.166694,0.18769899,0.16389229,0.10206019,0.04256051,0.19355757
1137,0.232,0.26442,0.314038462,0.153408163,0.09305,0.316047619,0.043605465,0.04316084,0.144290426,0.036968601,0.055620977,0.097398576,0.27560547,0.30758084,0.45832889,0.19037676,0.14867098,0.41344619,0.188395,0.22125916,0.16974804,0.11643956,0.03742902,0.21864904
1140,0.242,0.28629,0.296576923,0.168204082,0.10425,0.326190476,0.042971725,0.05053066,0.1348382,0.039257722,0.053227974,0.091461386,0.28497173,0.33682066,0.43141512,0.2074618,0.15747797,0.41765186,0.199028,0.23575934,0.16173872,0.12894636,0.05102203,0.23472909
1143,0.263,0.31462,0.332423077,0.179755102,0.087075,0.385976191,0.049562858,0.055569005,0.162359008,0.043425845,0.039545118,0.114330295,0.31256286,0.370189,0.49478208,0.22318095,0.12662012,0.50030649,0.213437,0.259051,0.17006407,0.13632926,0.04752988,0.2716459
1146,0.256,0.28336,0.347846154,0.168469388,0.08405,0.36102381,0.043132587,0.042398916,0.137984355,0.037066332,0.035575886,0.093258695,0.29913259,0.32575892,0.48583051,0.20553572,0.11962589,0.4542825,0.212867,0.24096108,0.2098618,0.13140306,0.04847411,0.26776512
1149,0.294,0.36103,0.395730769,0.1945,0.0944,0.420261905,0.051692854,0.059583611,0.167728874,0.044329162,0.033121158,0.116646469,0.34569285,0.42061361,0.56345964,0.23882916,0.12752116,0.53690837,0.242307,0.30144639,0.2280019,0.15017084,0.06127884,0.30361544
